Run_accession	datePubli	sraID	BioSample	collection_date	geo_loc_name	lat_lon	list_extra	BioProject	title	abstract	ext_link_db	ext_link_id	ext_link_label	strain	isolate	specie	Isolate_accession_number	Isoniazid	Rifampicin	Ethambutol	Pyrazinamide	Streptomycin	Ciprofloxacin	Moxifloxacin	Ofloxacin	Amikacin	Capreomycin	Kanamycin
ERR552310	2015-06-23 06:52:04	ERA323280	SAMEA2534557				[{'ENA first public': '2015-06-22'}, {'ENA last update': '2014-05-15'}, {'External Id': 'SAMEA2534557'}, {'INSDC center alias': 'FZB'}, {'INSDC center name': 'FORSCHUNGSZENTRUM BORSTEL'}, {'INSDC first public': '2015-06-22T17:01:37Z'}, {'INSDC last update': '2014-05-15T10:22:02Z'}, {'INSDC status': 'public'}, {'Submitter Id': '10205-03'}, {'sample name': '10205-03'}]	PRJEB7727	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone						Mycobacterium tuberculosis complex sp.	ERS457959	S	S	S	S	S	No result	No result	No result	No result	No result	No result
ERR552308	2015-06-23 06:52:04	ERA323280	SAMEA2534557				[{'ENA first public': '2015-06-22'}, {'ENA last update': '2014-05-15'}, {'External Id': 'SAMEA2534557'}, {'INSDC center alias': 'FZB'}, {'INSDC center name': 'FORSCHUNGSZENTRUM BORSTEL'}, {'INSDC first public': '2015-06-22T17:01:37Z'}, {'INSDC last update': '2014-05-15T10:22:02Z'}, {'INSDC status': 'public'}, {'Submitter Id': '10205-03'}, {'sample name': '10205-03'}]	PRJEB7727	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone						Mycobacterium tuberculosis complex sp.	ERS457959	S	S	S	S	S	No result	No result	No result	No result	No result	No result
ERR552309	2015-06-23 06:52:04	ERA323280	SAMEA2534557				[{'ENA first public': '2015-06-22'}, {'ENA last update': '2014-05-15'}, {'External Id': 'SAMEA2534557'}, {'INSDC center alias': 'FZB'}, {'INSDC center name': 'FORSCHUNGSZENTRUM BORSTEL'}, {'INSDC first public': '2015-06-22T17:01:37Z'}, {'INSDC last update': '2014-05-15T10:22:02Z'}, {'INSDC status': 'public'}, {'Submitter Id': '10205-03'}, {'sample name': '10205-03'}]	PRJEB7727	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone						Mycobacterium tuberculosis complex sp.	ERS457959	S	S	S	S	S	No result	No result	No result	No result	No result	No result
ERR552310	2015-06-23 06:52:04	ERA323280	SAMEA2534557				[{'ENA first public': '2015-06-22'}, {'ENA last update': '2014-05-15'}, {'External Id': 'SAMEA2534557'}, {'INSDC center alias': 'FZB'}, {'INSDC center name': 'FORSCHUNGSZENTRUM BORSTEL'}, {'INSDC first public': '2015-06-22T17:01:37Z'}, {'INSDC last update': '2014-05-15T10:22:02Z'}, {'INSDC status': 'public'}, {'Submitter Id': '10205-03'}, {'sample name': '10205-03'}]	PRJEB7727	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone						Mycobacterium tuberculosis complex sp.	ERS457959	S	S	S	S	S	No result	No result	No result	No result	No result	No result
ERR551398	2015-06-23 06:52:04	ERA323280	SAMEA2533915				[{'ENA first public': '2015-06-22'}, {'ENA last update': '2014-05-15'}, {'External Id': 'SAMEA2533915'}, {'INSDC center alias': 'FZB'}, {'INSDC center name': 'FORSCHUNGSZENTRUM BORSTEL'}, {'INSDC first public': '2015-06-22T17:01:37Z'}, {'INSDC last update': '2014-05-15T10:21:45Z'}, {'INSDC status': 'public'}, {'Submitter Id': '10206-03'}, {'sample name': '10206-03'}]	PRJEB7727	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone						Mycobacterium tuberculosis complex sp.	ERS457317	S	S	S	S	S	No result	No result	No result	No result	No result	No result
ERR551399	2015-06-23 06:52:04	ERA323280	SAMEA2533915				[{'ENA first public': '2015-06-22'}, {'ENA last update': '2014-05-15'}, {'External Id': 'SAMEA2533915'}, {'INSDC center alias': 'FZB'}, {'INSDC center name': 'FORSCHUNGSZENTRUM BORSTEL'}, {'INSDC first public': '2015-06-22T17:01:37Z'}, {'INSDC last update': '2014-05-15T10:21:45Z'}, {'INSDC status': 'public'}, {'Submitter Id': '10206-03'}, {'sample name': '10206-03'}]	PRJEB7727	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone						Mycobacterium tuberculosis complex sp.	ERS457317	S	S	S	S	S	No result	No result	No result	No result	No result	No result
ERR551398	2015-06-23 06:52:04	ERA323280	SAMEA2533915				[{'ENA first public': '2015-06-22'}, {'ENA last update': '2014-05-15'}, {'External Id': 'SAMEA2533915'}, {'INSDC center alias': 'FZB'}, {'INSDC center name': 'FORSCHUNGSZENTRUM BORSTEL'}, {'INSDC first public': '2015-06-22T17:01:37Z'}, {'INSDC last update': '2014-05-15T10:21:45Z'}, {'INSDC status': 'public'}, {'Submitter Id': '10206-03'}, {'sample name': '10206-03'}]	PRJEB7727	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone						Mycobacterium tuberculosis complex sp.	ERS457317	S	S	S	S	S	No result	No result	No result	No result	No result	No result
ERR551399	2015-06-23 06:52:04	ERA323280	SAMEA2533915				[{'ENA first public': '2015-06-22'}, {'ENA last update': '2014-05-15'}, {'External Id': 'SAMEA2533915'}, {'INSDC center alias': 'FZB'}, {'INSDC center name': 'FORSCHUNGSZENTRUM BORSTEL'}, {'INSDC first public': '2015-06-22T17:01:37Z'}, {'INSDC last update': '2014-05-15T10:21:45Z'}, {'INSDC status': 'public'}, {'Submitter Id': '10206-03'}, {'sample name': '10206-03'}]	PRJEB7727	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone						Mycobacterium tuberculosis complex sp.	ERS457317	S	S	S	S	S	No result	No result	No result	No result	No result	No result
ERR552853	2015-06-23 06:52:04	ERA323280	SAMEA2534954				[{'ENA first public': '2015-06-22'}, {'ENA last update': '2014-05-15'}, {'External Id': 'SAMEA2534954'}, {'INSDC center alias': 'FZB'}, {'INSDC center name': 'FORSCHUNGSZENTRUM BORSTEL'}, {'INSDC first public': '2015-06-22T17:01:37Z'}, {'INSDC last update': '2014-05-15T10:22:13Z'}, {'INSDC status': 'public'}, {'Submitter Id': '10207-03'}, {'sample name': '10207-03'}]	PRJEB7727	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone						Mycobacterium tuberculosis complex sp.	ERS458356	S	S	S	S	S	No result	No result	No result	No result	No result	No result
ERR551511	2015-06-23 06:52:04	ERA323280	SAMEA2533994				[{'ENA first public': '2015-06-22'}, {'ENA last update': '2014-05-15'}, {'External Id': 'SAMEA2533994'}, {'INSDC center alias': 'FZB'}, {'INSDC center name': 'FORSCHUNGSZENTRUM BORSTEL'}, {'INSDC first public': '2015-06-22T17:01:37Z'}, {'INSDC last update': '2014-05-15T10:21:47Z'}, {'INSDC status': 'public'}, {'Submitter Id': '10348-03'}, {'sample name': '10348-03'}]	PRJEB7727	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone						Mycobacterium tuberculosis complex sp.	ERS457396	R	R	R	S	R	No result	No result	No result	No result	No result	No result
ERR551512	2015-06-23 06:52:04	ERA323280	SAMEA2533994				[{'ENA first public': '2015-06-22'}, {'ENA last update': '2014-05-15'}, {'External Id': 'SAMEA2533994'}, {'INSDC center alias': 'FZB'}, {'INSDC center name': 'FORSCHUNGSZENTRUM BORSTEL'}, {'INSDC first public': '2015-06-22T17:01:37Z'}, {'INSDC last update': '2014-05-15T10:21:47Z'}, {'INSDC status': 'public'}, {'Submitter Id': '10348-03'}, {'sample name': '10348-03'}]	PRJEB7727	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone						Mycobacterium tuberculosis complex sp.	ERS457396	R	R	R	S	R	No result	No result	No result	No result	No result	No result
ERR551513	2015-06-23 06:52:04	ERA323280	SAMEA2533994				[{'ENA first public': '2015-06-22'}, {'ENA last update': '2014-05-15'}, {'External Id': 'SAMEA2533994'}, {'INSDC center alias': 'FZB'}, {'INSDC center name': 'FORSCHUNGSZENTRUM BORSTEL'}, {'INSDC first public': '2015-06-22T17:01:37Z'}, {'INSDC last update': '2014-05-15T10:21:47Z'}, {'INSDC status': 'public'}, {'Submitter Id': '10348-03'}, {'sample name': '10348-03'}]	PRJEB7727	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone						Mycobacterium tuberculosis complex sp.	ERS457396	R	R	R	S	R	No result	No result	No result	No result	No result	No result
ERR551511	2015-06-23 06:52:04	ERA323280	SAMEA2533994				[{'ENA first public': '2015-06-22'}, {'ENA last update': '2014-05-15'}, {'External Id': 'SAMEA2533994'}, {'INSDC center alias': 'FZB'}, {'INSDC center name': 'FORSCHUNGSZENTRUM BORSTEL'}, {'INSDC first public': '2015-06-22T17:01:37Z'}, {'INSDC last update': '2014-05-15T10:21:47Z'}, {'INSDC status': 'public'}, {'Submitter Id': '10348-03'}, {'sample name': '10348-03'}]	PRJEB7727	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone						Mycobacterium tuberculosis complex sp.	ERS457396	R	R	R	S	R	No result	No result	No result	No result	No result	No result
ERR551512	2015-06-23 06:52:04	ERA323280	SAMEA2533994				[{'ENA first public': '2015-06-22'}, {'ENA last update': '2014-05-15'}, {'External Id': 'SAMEA2533994'}, {'INSDC center alias': 'FZB'}, {'INSDC center name': 'FORSCHUNGSZENTRUM BORSTEL'}, {'INSDC first public': '2015-06-22T17:01:37Z'}, {'INSDC last update': '2014-05-15T10:21:47Z'}, {'INSDC status': 'public'}, {'Submitter Id': '10348-03'}, {'sample name': '10348-03'}]	PRJEB7727	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone						Mycobacterium tuberculosis complex sp.	ERS457396	R	R	R	S	R	No result	No result	No result	No result	No result	No result
ERR551513	2015-06-23 06:52:04	ERA323280	SAMEA2533994				[{'ENA first public': '2015-06-22'}, {'ENA last update': '2014-05-15'}, {'External Id': 'SAMEA2533994'}, {'INSDC center alias': 'FZB'}, {'INSDC center name': 'FORSCHUNGSZENTRUM BORSTEL'}, {'INSDC first public': '2015-06-22T17:01:37Z'}, {'INSDC last update': '2014-05-15T10:21:47Z'}, {'INSDC status': 'public'}, {'Submitter Id': '10348-03'}, {'sample name': '10348-03'}]	PRJEB7727	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone						Mycobacterium tuberculosis complex sp.	ERS457396	R	R	R	S	R	No result	No result	No result	No result	No result	No result
ERR551511	2015-06-23 06:52:04	ERA323280	SAMEA2533994				[{'ENA first public': '2015-06-22'}, {'ENA last update': '2014-05-15'}, {'External Id': 'SAMEA2533994'}, {'INSDC center alias': 'FZB'}, {'INSDC center name': 'FORSCHUNGSZENTRUM BORSTEL'}, {'INSDC first public': '2015-06-22T17:01:37Z'}, {'INSDC last update': '2014-05-15T10:21:47Z'}, {'INSDC status': 'public'}, {'Submitter Id': '10348-03'}, {'sample name': '10348-03'}]	PRJEB7727	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone						Mycobacterium tuberculosis complex sp.	ERS457396	R	R	R	S	R	No result	No result	No result	No result	No result	No result
ERR551512	2015-06-23 06:52:04	ERA323280	SAMEA2533994				[{'ENA first public': '2015-06-22'}, {'ENA last update': '2014-05-15'}, {'External Id': 'SAMEA2533994'}, {'INSDC center alias': 'FZB'}, {'INSDC center name': 'FORSCHUNGSZENTRUM BORSTEL'}, {'INSDC first public': '2015-06-22T17:01:37Z'}, {'INSDC last update': '2014-05-15T10:21:47Z'}, {'INSDC status': 'public'}, {'Submitter Id': '10348-03'}, {'sample name': '10348-03'}]	PRJEB7727	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone						Mycobacterium tuberculosis complex sp.	ERS457396	R	R	R	S	R	No result	No result	No result	No result	No result	No result
ERR551513	2015-06-23 06:52:04	ERA323280	SAMEA2533994				[{'ENA first public': '2015-06-22'}, {'ENA last update': '2014-05-15'}, {'External Id': 'SAMEA2533994'}, {'INSDC center alias': 'FZB'}, {'INSDC center name': 'FORSCHUNGSZENTRUM BORSTEL'}, {'INSDC first public': '2015-06-22T17:01:37Z'}, {'INSDC last update': '2014-05-15T10:21:47Z'}, {'INSDC status': 'public'}, {'Submitter Id': '10348-03'}, {'sample name': '10348-03'}]	PRJEB7727	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone						Mycobacterium tuberculosis complex sp.	ERS457396	R	R	R	S	R	No result	No result	No result	No result	No result	No result
ERR551067	2015-06-23 06:52:04	ERA323280	SAMEA2533673				[{'ENA first public': '2015-06-22'}, {'ENA last update': '2014-05-15'}, {'External Id': 'SAMEA2533673'}, {'INSDC center alias': 'FZB'}, {'INSDC center name': 'FORSCHUNGSZENTRUM BORSTEL'}, {'INSDC first public': '2015-06-22T17:01:37Z'}, {'INSDC last update': '2014-05-15T10:21:38Z'}, {'INSDC status': 'public'}, {'Submitter Id': '10349-03'}, {'sample name': '10349-03'}]	PRJEB7727	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone						Mycobacterium tuberculosis complex sp.	ERS457075	R	S	R	S	R	No result	No result	No result	No result	No result	No result
ERR551068	2015-06-23 06:52:04	ERA323280	SAMEA2533673				[{'ENA first public': '2015-06-22'}, {'ENA last update': '2014-05-15'}, {'External Id': 'SAMEA2533673'}, {'INSDC center alias': 'FZB'}, {'INSDC center name': 'FORSCHUNGSZENTRUM BORSTEL'}, {'INSDC first public': '2015-06-22T17:01:37Z'}, {'INSDC last update': '2014-05-15T10:21:38Z'}, {'INSDC status': 'public'}, {'Submitter Id': '10349-03'}, {'sample name': '10349-03'}]	PRJEB7727	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone						Mycobacterium tuberculosis complex sp.	ERS457075	R	S	R	S	R	No result	No result	No result	No result	No result	No result
ERR551069	2015-06-23 06:52:04	ERA323280	SAMEA2533673				[{'ENA first public': '2015-06-22'}, {'ENA last update': '2014-05-15'}, {'External Id': 'SAMEA2533673'}, {'INSDC center alias': 'FZB'}, {'INSDC center name': 'FORSCHUNGSZENTRUM BORSTEL'}, {'INSDC first public': '2015-06-22T17:01:37Z'}, {'INSDC last update': '2014-05-15T10:21:38Z'}, {'INSDC status': 'public'}, {'Submitter Id': '10349-03'}, {'sample name': '10349-03'}]	PRJEB7727	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone						Mycobacterium tuberculosis complex sp.	ERS457075	R	S	R	S	R	No result	No result	No result	No result	No result	No result
ERR551067	2015-06-23 06:52:04	ERA323280	SAMEA2533673				[{'ENA first public': '2015-06-22'}, {'ENA last update': '2014-05-15'}, {'External Id': 'SAMEA2533673'}, {'INSDC center alias': 'FZB'}, {'INSDC center name': 'FORSCHUNGSZENTRUM BORSTEL'}, {'INSDC first public': '2015-06-22T17:01:37Z'}, {'INSDC last update': '2014-05-15T10:21:38Z'}, {'INSDC status': 'public'}, {'Submitter Id': '10349-03'}, {'sample name': '10349-03'}]	PRJEB7727	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone						Mycobacterium tuberculosis complex sp.	ERS457075	R	S	R	S	R	No result	No result	No result	No result	No result	No result
ERR551068	2015-06-23 06:52:04	ERA323280	SAMEA2533673				[{'ENA first public': '2015-06-22'}, {'ENA last update': '2014-05-15'}, {'External Id': 'SAMEA2533673'}, {'INSDC center alias': 'FZB'}, {'INSDC center name': 'FORSCHUNGSZENTRUM BORSTEL'}, {'INSDC first public': '2015-06-22T17:01:37Z'}, {'INSDC last update': '2014-05-15T10:21:38Z'}, {'INSDC status': 'public'}, {'Submitter Id': '10349-03'}, {'sample name': '10349-03'}]	PRJEB7727	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone						Mycobacterium tuberculosis complex sp.	ERS457075	R	S	R	S	R	No result	No result	No result	No result	No result	No result
ERR551069	2015-06-23 06:52:04	ERA323280	SAMEA2533673				[{'ENA first public': '2015-06-22'}, {'ENA last update': '2014-05-15'}, {'External Id': 'SAMEA2533673'}, {'INSDC center alias': 'FZB'}, {'INSDC center name': 'FORSCHUNGSZENTRUM BORSTEL'}, {'INSDC first public': '2015-06-22T17:01:37Z'}, {'INSDC last update': '2014-05-15T10:21:38Z'}, {'INSDC status': 'public'}, {'Submitter Id': '10349-03'}, {'sample name': '10349-03'}]	PRJEB7727	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone						Mycobacterium tuberculosis complex sp.	ERS457075	R	S	R	S	R	No result	No result	No result	No result	No result	No result
ERR551067	2015-06-23 06:52:04	ERA323280	SAMEA2533673				[{'ENA first public': '2015-06-22'}, {'ENA last update': '2014-05-15'}, {'External Id': 'SAMEA2533673'}, {'INSDC center alias': 'FZB'}, {'INSDC center name': 'FORSCHUNGSZENTRUM BORSTEL'}, {'INSDC first public': '2015-06-22T17:01:37Z'}, {'INSDC last update': '2014-05-15T10:21:38Z'}, {'INSDC status': 'public'}, {'Submitter Id': '10349-03'}, {'sample name': '10349-03'}]	PRJEB7727	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone						Mycobacterium tuberculosis complex sp.	ERS457075	R	S	R	S	R	No result	No result	No result	No result	No result	No result
